address,symbol,name,chain,score,label,liquidity_usd,positives,negatives,analyzed_at
0xC32dB1D3282e872d98f6437D3BCFa57801CA6d5c,ETHEREUM,ETHEREUM (VoldemortTrumpRobotnik-10Neko),ethereum,100,GEM,71460.51,"Nao e honeypot | Liquidez travada 100% | Ownership renunciado | Taxa baixa (buy 0.0% / sell 1.0%) | Contrato verificado | Liquidez $71,461",Concentrado: top10 tem 65%,2026-04-17 00:56 UTC
0xDC5E9445169C73Cf21e1da0B270e8433caC69959,科太币,科太币 ( Ethereum),ethereum,100,GEM,53718.33,"Nao e honeypot | Liquidez travada 100% | Ownership renunciado | Taxa baixa (buy 1.0% / sell 1.0%) | Contrato verificado | Liquidez $53,718",Concentrado: top10 tem 78% | Blacklist de carteiras ativa,2026-04-17 00:56 UTC
0x6331BF8D601f0D7F0d2101772af5137c418c4444,BSC,BSC (Binance Super Cycle),bsc,100,GEM,81607.57,"Nao e honeypot | Liquidez travada 100% | Ownership renunciado | Taxa baixa (buy 0.0% / sell 0.0%) | Top10 holders 33% do supply | Contrato verificado | Liquidez $81,608",,2026-04-17 00:56 UTC
0x6B4917a11BCb3BDCb545D79F211e81aa5835a3Ba,BSC,BSC (BNB SUPER CYCLE),bsc,100,GEM,23934.79,Nao e honeypot | Liquidez travada 100% | Ownership renunciado | Taxa baixa (buy 0.0% / sell 0.0%) | Contrato verificado,"Concentrado: top10 tem 70% | Liquidez media $23,935",2026-04-17 00:56 UTC
0x8c29fC7a43eB6dc592C1d5f06d3fD574d9Fb1fd7,BSC,BSC (Binance Super Cycle),bsc,100,GEM,11009.37,Nao e honeypot | Liquidez travada 100% | Ownership renunciado | Taxa baixa (buy 0.0% / sell 0.0%) | Contrato verificado,"Concentrado: top10 tem 89% | Liquidez media $11,009",2026-04-17 00:56 UTC
0x40DAC4b1C0ee85cF3574FA14a5e065CfFfD54444,BSC,BSC (BallSackCoin),bsc,100,GEM,4982.73,Nao e honeypot | Liquidez travada 100% | Ownership renunciado | Taxa baixa (buy 0.0% / sell 0.0%) | Contrato verificado,"Concentrado: top10 tem 99% | Liquidez baixa $4,983",2026-04-17 00:56 UTC
0xb7ad5cc845837E96a1c7B9F891548246e0F3E910,BSC,BSC (BSCFarm Finance),bsc,55,NEUTRO,201.83,Nao e honeypot | Ownership renunciado | Taxa baixa (buy 0.0% / sell 0.0%) | Contrato verificado,Liquidez nao travada (0%) | Concentrado: top10 tem 99% | Liquidez baixa $202 | Funcao mint sem limite,2026-04-17 00:56 UTC
0x58c794C81e9fEf1f3706082A09fe1C7F2dD94841,BSC,BSC,bsc,85,GEM,0.11,Nao e honeypot | Ownership renunciado | Taxa baixa (buy 0.0% / sell 0.0%) | Contrato verificado,Liquidez nao travada (0%) | Concentrado: top10 tem 100% | Liquidez baixa $0,2026-04-17 00:56 UTC
0xfC45AD458622e8b04fDb1a675B8747Dae7dCb684,BSC,BSC (BSC EXCHANGE),bsc,70,GEM,0.03,Nao e honeypot | Ownership renunciado | Taxa baixa (buy 0.0% / sell 0.0%) | Top10 holders 30% do supply | Contrato verificado,Liquidez nao travada (0%) | Liquidez baixa $0 | Funcao mint sem limite,2026-04-17 00:56 UTC
0x17bc015607Fdf93e7C949e9Ca22f96907cFBeF88,BSC,BSC (BSC FARM),bsc,55,NEUTRO,0.76,Nao e honeypot | Ownership renunciado | Taxa baixa (buy 0.0% / sell 0.0%) | Contrato verificado,Liquidez nao travada (0%) | Concentrado: top10 tem 100% | Liquidez baixa $1 | Funcao mint sem limite,2026-04-17 00:56 UTC
0x19d464Ed2a89a37eEB78e39c679BF8bcD195e7bE,BSC,BSC (DRUGGED BSC),bsc,90,GEM,0.07,Nao e honeypot | Ownership renunciado | Taxa baixa (buy 0.0% / sell 0.0%) | Top10 holders 0% do supply,Liquidez nao travada (0%) | Contrato nao verificado | Liquidez baixa $0,2026-04-17 00:57 UTC
0xaeE4251710cc8559008F1707FFEC39392875e3C8,BSC,BSC (BSCNSwap),bsc,90,GEM,0.29,Nao e honeypot | Ownership renunciado | Taxa baixa (buy 0.0% / sell 0.0%) | Top10 holders 0% do supply,Liquidez nao travada (0%) | Contrato nao verificado | Liquidez baixa $0,2026-04-17 00:57 UTC
0x17098D2643B535BcFC97ee69830e69D33c44efe5,BSC,BSC (BSCNSwapChain),bsc,85,GEM,0.04,Nao e honeypot | Ownership renunciado | Taxa baixa (buy 0.0% / sell 0.0%) | Contrato verificado,Liquidez nao travada (0%) | Concentrado: top10 tem 100% | Liquidez baixa $0,2026-04-17 00:57 UTC
0x5EE54869Ecd5E752C31aF095187326D4A4D50e1c,Arb Inc,Arb Inc (Arbitrage Inception),bsc,100,GEM,0.48,Nao e honeypot | Liquidez travada 100% | Ownership renunciado | Taxa baixa (buy 4.0% / sell 4.0%) | Contrato verificado,Concentrado: top10 tem 56% | Liquidez baixa $0,2026-04-17 00:57 UTC
0x54D3bC5329560551686c2108599E186f36f5c393,ARBI,ARBI (Arbibot),bsc,85,GEM,1.99,Nao e honeypot | Ownership renunciado | Taxa baixa (buy 0.0% / sell 0.0%) | Contrato verificado,Liquidez nao travada (0%) | Concentrado: top10 tem 100% | Liquidez baixa $2,2026-04-17 00:57 UTC
0x93ecd8e9156E6b217514BCFE59837b3807D8F53D,KABOSU,KABOSU (Kabosu),bsc,70,GEM,1.83,Nao e honeypot | Ownership renunciado | Taxa baixa (buy 0.0% / sell 0.0%) | Top10 holders 45% do supply | Contrato verificado,Liquidez nao travada (0%) | Liquidez baixa $2 | Funcao mint sem limite,2026-04-17 00:57 UTC
0xd07379a755A8f11B57610154861D694b2A0f615a,BASE,BASE,base,90,GEM,49164.27,Nao e honeypot | Ownership renunciado | Taxa baixa (buy 0.0% / sell 0.0%) | Top10 holders 14% do supply | Contrato verificado,"Liquidez nao travada (0%) | Liquidez media $49,164 | Funcao mint sem limite",2026-04-17 00:57 UTC
0xE59e90e01eBa2754a2EA80AbDb617D4ec7661fF7,BASE,BASE (Base House ),base,75,GEM,35096.72,Nao e honeypot | Ownership renunciado | Taxa baixa (buy 0.0% / sell 0.0%) | Contrato verificado,"Liquidez nao travada (0%) | Concentrado: top10 tem 99% | Liquidez media $35,097 | Funcao mint sem limite",2026-04-17 00:57 UTC
0xBce4705b674fa0d1dc3C1BA38cA5cFD989EaE656,BASE,BASE (Base God),base,85,GEM,574.48,Nao e honeypot | Ownership renunciado | Taxa baixa (buy 0.0% / sell 0.0%) | Contrato verificado,Liquidez nao travada (0%) | Concentrado: top10 tem 100% | Liquidez baixa $574,2026-04-17 00:57 UTC
0x11d63948De284bD8A607B754D1bCB6bb6713a22B,BASE,BASE (BrianArmstrongTinkerbell420Inu),base,65,NEUTRO,8933.43,Nao e honeypot | Ownership renunciado | Taxa baixa (buy 0.0% / sell 0.0%) | Contrato verificado,"Liquidez nao travada (0%) | Concentrado: top10 tem 95% | Liquidez baixa $8,933 | Blacklist de carteiras ativa",2026-04-17 00:57 UTC
0x34Edb6B8dFac5ae7e8a06Bbe7D5233CecF40EBA3,BASE,BASE (BaseUp),base,40,NEUTRO,0.0,Nao e honeypot | Ownership renunciado | Taxa baixa (buy 0.0% / sell 0.0%) | Contrato verificado,Liquidez nao travada (0%) | Concentrado: top10 tem 100% | Sem liquidez (score cap 40),2026-04-17 00:57 UTC
0x77Aa329EF790ba5b1FDE73315C3B050F5A977c90,BASE,BASE,base,40,NEUTRO,0.0,Nao e honeypot | Ownership renunciado | Taxa baixa (buy 0.0% / sell 0.0%) | Contrato verificado,Liquidez nao travada (0%) | Concentrado: top10 tem 100% | Sem liquidez (score cap 40),2026-04-17 00:57 UTC
